"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
765678394430-11,COALITIO,0.25,0,"Advances interests of their clients",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/coalitio?rid=765678394430-11
765777524729-97,"Schweizerische Trassenvergabestelle TVS",0.2,0,"Does not represent commercial interests",SWITZERLAND,SWITZERLAND,,,1,https://www.lobbyfacts.eu/datacard/schweizerische-trassenvergabestelle-tvs?rid=765777524729-97
766064833124-67,"Pestalozzi Fröbel Haus",1.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/pestalozzi-fröbel-haus?rid=766064833124-67
766108347938-49,"Fair Resource Foundation",7.5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/fair-resource-foundation?rid=766108347938-49
766227949664-65,"All Party Parliamentary Group Indian Traditional Sciences",2.7,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,1,,https://www.lobbyfacts.eu/datacard/all-party-parliamentary-group-indian-traditional-sciences?rid=766227949664-65
766239595605-78,"Equal Rights Beyond Borders e.V.",0.75,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/equal-rights-beyond-borders-ev?rid=766239595605-78
766497241334-95,"Committee for Human Rights in North Korea",2.75,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/committee-for-human-rights-in-north-korea?rid=766497241334-95
766505844253-83,"Stichting WePlanet Nederland",0.4,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/stichting-weplanet-nederland?rid=766505844253-83
767244923940-53,"Natural History Museum",0.25,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/natural-history-museum?rid=767244923940-53
767387823617-05,Odyseus,0.1,0,"Does not represent commercial interests",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/odyseus?rid=767387823617-05
768588825862-96,KickCancer,1.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,4,2,https://www.lobbyfacts.eu/datacard/kickcancer?rid=768588825862-96
768767529487-25,"Le Labo de l'Economie Sociale et Solidaire",2.2,0,"Does not represent commercial interests",FRANCE,FRANCE,,,4,https://www.lobbyfacts.eu/datacard/le-labo-de-leconomie-sociale-et-solidaire?rid=768767529487-25
769151434737-69,"The HALO Trust",2.5,0,"Does not represent commercial interests","UNITED KINGDOM",NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/the-halo-trust?rid=769151434737-69
769258827114-68,"Universiteit Twente",1.05,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,2,https://www.lobbyfacts.eu/datacard/universiteit-twente?rid=769258827114-68
769286939357-35,"Democracy Reporting International",1.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,8,5,https://www.lobbyfacts.eu/datacard/democracy-reporting-international?rid=769286939357-35
769898722182-72,"Plataforma per la Llengua Col·lectiu Esbarzer",1.5,0,"Does not represent commercial interests",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/plataforma-per-la-llengua-col·lectiu-esbarzer?rid=769898722182-72
770007812381-96,"Europeana Foundation",1,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,8,16,https://www.lobbyfacts.eu/datacard/europeana-foundation?rid=770007812381-96
770329810840-07,"The Document Foundation",0.25,0,"Does not represent commercial interests",GERMANY,ITALY,,,,https://www.lobbyfacts.eu/datacard/the-document-foundation?rid=770329810840-07
770786045269-04,"Societat Civil Catalana",0.8,0,"Does not represent commercial interests",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/societat-civil-catalana?rid=770786045269-04
771020536080-26,"Stichting IUCN Nederlands Comité",0.3,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,2,https://www.lobbyfacts.eu/datacard/stichting-iucn-nederlands-comité?rid=771020536080-26
771093352684-76,"Asociația CENTRUL DE EXPERTIZĂ EUROPEANĂ EUROPULS",2.25,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/asociația-centrul-de-expertiză-europeană-europuls?rid=771093352684-76
771110337973-66,"Protect Our Winters Europe",3.25,0,"Does not represent commercial interests",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/protect-our-winters-europe?rid=771110337973-66
771713924589-06,"Social Progress Imperative",1.5,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,11,https://www.lobbyfacts.eu/datacard/social-progress-imperative?rid=771713924589-06
772116923142-95,"European Association of Poisons Centres and Clinical Toxicologists",0.25,0,"Does not represent commercial interests",BELGIUM,"UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/european-association-of-poisons-centres-and-clinical-toxicologists?rid=772116923142-95
772161793301-55,"European Vaccine Initiative e.V.",1,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/european-vaccine-initiative-ev?rid=772161793301-55
772378944494-74,"Hungarian Habitat Protection Society",2.5,0,"Does not represent commercial interests",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/hungarian-habitat-protection-society?rid=772378944494-74
773335691945-85,"EU-Africa Chamber of Commerce Group",2.5,0,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/eu-africa-chamber-of-commerce-group?rid=773335691945-85
773425322899-55,"Nadacia Habitat for Humanity International",2.5,0,"Does not represent commercial interests",SLOVAKIA,SLOVAKIA,,,3,https://www.lobbyfacts.eu/datacard/nadacia-habitat-for-humanity-international?rid=773425322899-55
773763851617-85,"Focus Europe",2.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/focus-europe?rid=773763851617-85
773836952382-11,"ΣΥΝΥΠΑΡΞΙΣ - ΟΙΚΟΥΜΕΝΙΚΟ ΠΡΟΓΑΜΜΑ ΠΡΟΣΦΥΓΩΝ",0.1,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/συνυπαρξις---οικουμενικο-προγαμμα-προσφυγων?rid=773836952382-11
774162031607-78,"RAND Europe (EU) AISBL",2.6,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,1,,https://www.lobbyfacts.eu/datacard/rand-europe-eu-aisbl?rid=774162031607-78
774288494402-02,"International Center for Law & Economics",0.6,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/international-center-for-law--economics?rid=774288494402-02
774317337944-70,"Nordic Alcohol and Drug Policy Network",1.8,0,"Does not represent commercial interests",ESTONIA,ESTONIA,,,,https://www.lobbyfacts.eu/datacard/nordic-alcohol-and-drug-policy-network?rid=774317337944-70
774437692066-39,"European Crypto Initiative",5,0,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-crypto-initiative?rid=774437692066-39
77460579636-61,"Stichting IHE Delft Institute for Water Education",2.25,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,1,1,,https://www.lobbyfacts.eu/datacard/stichting-ihe-delft-institute-for-water-education?rid=77460579636-61
774884450749-89,"Centre Communautaire Laic JUif",0.1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,3,https://www.lobbyfacts.eu/datacard/centre-communautaire-laic-juif?rid=774884450749-89
775421423058-89,"dTest, o.p.s.",1,0,"Does not represent commercial interests","CZECH REPUBLIC","CZECH REPUBLIC",,,,https://www.lobbyfacts.eu/datacard/dtest-ops?rid=775421423058-89
775903212549-24,"Allgemeine Ortskrankenkasse-Bundesverband",1,0,"Does not represent commercial interests",GERMANY,GERMANY,,7,,https://www.lobbyfacts.eu/datacard/allgemeine-ortskrankenkasse-bundesverband?rid=775903212549-24
776040595844-35,"Niak Labs",2,0,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/niak-labs?rid=776040595844-35
776468828438-74,"International Network for Sustainable Energy - Europe",0.5,0,"Does not represent commercial interests",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/international-network-for-sustainable-energy---europe?rid=776468828438-74
777021553052-19,"A Promise to Animals Non Profit Civil Law Society",1,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/a-promise-to-animals-non-profit-civil-law-society?rid=777021553052-19
777082895009-31,"KCI Medical Belgium BV",0.6,0,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/kci-medical-belgium-bv?rid=777082895009-31
777230794967-71,"United for Ukraine Association",4.75,0,"Does not represent commercial interests",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/united-for-ukraine-association?rid=777230794967-71
777439546174-13,"Związek Stowarzyszeń Polska Zielona Sieć",10.5,0,"Does not represent commercial interests",POLAND,POLAND,,,2,https://www.lobbyfacts.eu/datacard/związek-stowarzyszeń-polska-zielona-sieć?rid=777439546174-13
777673117894-44,"European School of Governance (eusg) gGmbH",0.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/european-school-of-governance-eusg-ggmbh?rid=777673117894-44
777745717000-59,"Universidade de Coimbra",0.1,0,"Does not represent commercial interests",PORTUGAL,PORTUGAL,,,2,https://www.lobbyfacts.eu/datacard/universidade-de-coimbra?rid=777745717000-59
777862830832-60,"International Committee In Search of Justice",0.95,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,36,,https://www.lobbyfacts.eu/datacard/international-committee-in-search-of-justice?rid=777862830832-60
778137139299-96,"Willi-Eichler-Akademie e.V.",3.25,0,"Does not represent commercial interests",GERMANY,BELGIUM,,5,,https://www.lobbyfacts.eu/datacard/willi-eichler-akademie-ev?rid=778137139299-96
778428991652-36,"Ελληνική Ορνιθολογική Εταιρεία",0.2,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/ελληνική-ορνιθολογική-εταιρεία?rid=778428991652-36
778949196243-05,Europinion,1,0,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/europinion?rid=778949196243-05
779238646286-22,"Agence de la biomedecine",0.85,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/agence-de-la-biomedecine?rid=779238646286-22
77926494338-54,Natuurmonumenten,0.6,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/natuurmonumenten?rid=77926494338-54
779582312759-04,"Centre d'Etudes Internationales de la Propriété Intellectuelle",0.5,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/centre-detudes-internationales-de-la-propriété-intellectuelle?rid=779582312759-04
779755725199-16,"Stichting ElaadNL",0.5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stichting-elaadnl?rid=779755725199-16
779868992943-52,"Black Sea Universities Network",0.25,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/black-sea-universities-network?rid=779868992943-52
780988631437-87,"Japan External Trade Organization",2.5,0,"Does not represent commercial interests",JAPAN,BELGIUM,,2,3,https://www.lobbyfacts.eu/datacard/japan-external-trade-organization?rid=780988631437-87
781368595202-27,"dream Mobility GmbH",0.2,0,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/dream-mobility-gmbh?rid=781368595202-27
781409893404-61,"AI Objectives Institute",0.75,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/ai-objectives-institute?rid=781409893404-61
781458792365-61,QuotaClimat,1,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/quotaclimat?rid=781458792365-61
781472292243-61,"World Green Design Organization",5.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/world-green-design-organization?rid=781472292243-61
781735946786-11,"Baltic Centre for Media Excellence",0.6,0,"Does not represent commercial interests",LATVIA,LATVIA,,,2,https://www.lobbyfacts.eu/datacard/baltic-centre-for-media-excellence?rid=781735946786-11
78180074927-85,"Privacy International",1,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,14,1,https://www.lobbyfacts.eu/datacard/privacy-international?rid=78180074927-85
782014692362-60,"APURE Stowarzyszenie na rzecz rozwoju regionów",0.8,0,"Does not represent commercial interests",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/apure-stowarzyszenie-na-rzecz-rozwoju-regionów?rid=782014692362-60
78244764767-48,"Sociedad Española de Ornitología",1.25,0,"Does not represent commercial interests",SPAIN,SPAIN,,2,7,https://www.lobbyfacts.eu/datacard/sociedad-española-de-ornitología?rid=78244764767-48
782706142961-91,"Conseil Consultatif des eaux occidentales autrales",3,0,"Does not represent commercial interests",FRANCE,FRANCE,,,3,https://www.lobbyfacts.eu/datacard/conseil-consultatif-des-eaux-occidentales-autrales?rid=782706142961-91
782840191616-63,"BANK OF CYPRUS ONCOLOGY CENTRE",2.6,0,"Does not represent commercial interests",CYPRUS,CYPRUS,,,2,https://www.lobbyfacts.eu/datacard/bank-of-cyprus-oncology-centre?rid=782840191616-63
782968445188-12,"Verband Österreichischer Tierschutzorganisationen",0.1,0,"Does not represent commercial interests",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/verband-österreichischer-tierschutzorganisationen?rid=782968445188-12
783127949178-77,"Anti-corruption foundation Europe",0.35,0,"Does not represent commercial interests",LITHUANIA,LITHUANIA,,,,https://www.lobbyfacts.eu/datacard/anti-corruption-foundation-europe?rid=783127949178-77
783693750555-65,"elbarlament e.V.",0.1,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/elbarlament-ev?rid=783693750555-65
783904347332-52,"Christliche Initiative Romero",0.8,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/christliche-initiative-romero?rid=783904347332-52
784042723125-15,"Sächsische Energieagentur - SAENA GmbH",0.25,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/sächsische-energieagentur---saena-gmbh?rid=784042723125-15
784564395895-52,"Leibniz-Institut für Wirtschaftsforschung Halle",0.7,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/leibniz-institut-für-wirtschaftsforschung-halle?rid=784564395895-52
784839644387-27,"Europe Jacques Delors",6.35,0,"Does not represent commercial interests",BELGIUM,BELGIUM,3,5,7,https://www.lobbyfacts.eu/datacard/europe-jacques-delors?rid=784839644387-27
784930896049-27,TEKNIQ,0.1,0,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/tekniq?rid=784930896049-27
785126693173-63,"Madz Consulting",1,0,"Advances interests of their clients",NETHERLANDS,NETHERLANDS,1,1,,https://www.lobbyfacts.eu/datacard/madz-consulting?rid=785126693173-63
785229350038-92,"Fundación para la investigacion del Hospital universitario La Fe de la Comunidad Valenciana",1,0,"Does not represent commercial interests",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/fundación-para-la-investigacion-del-hospital-universitario-la-fe-de-la-comunidad-valenciana?rid=785229350038-92
785269649348-36,"Bayerische Akademie der Wissenschaften",0.1,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bayerische-akademie-der-wissenschaften?rid=785269649348-36
78610009998-13,"The Shark Trust",1,0,"Does not represent commercial interests","UNITED KINGDOM",BELGIUM,1,9,3,https://www.lobbyfacts.eu/datacard/the-shark-trust?rid=78610009998-13
786550013705-85,"European Haemophilia Consortium",7.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,35,,https://www.lobbyfacts.eu/datacard/european-haemophilia-consortium?rid=786550013705-85
787054318177-33,"Centre National de la Recherche Scientifique",5,0,"Does not represent commercial interests",FRANCE,BELGIUM,4,14,13,https://www.lobbyfacts.eu/datacard/centre-national-de-la-recherche-scientifique?rid=787054318177-33
787064543128-10,"Future of Life Institute",2.5,0,"Does not represent commercial interests","UNITED STATES",BELGIUM,4,13,3,https://www.lobbyfacts.eu/datacard/future-of-life-institute?rid=787064543128-10
787577994345-38,"Asociación Kudwa",1,0,"Does not represent commercial interests",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-kudwa?rid=787577994345-38
788210432236-83,"EMES International Research Network",0.2,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/emes-international-research-network?rid=788210432236-83
788724251901-07,"""Együtt könnyebb"" Női Egészségért Alapítvány",1,0,"Does not represent commercial interests",HUNGARY,HUNGARY,,2,,https://www.lobbyfacts.eu/datacard/együtt-könnyebb-női-egészségért-alapítvány?rid=788724251901-07
78891371297-34,"European Transport Safety Council",9.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,28,16,https://www.lobbyfacts.eu/datacard/european-transport-safety-council?rid=78891371297-34
789093693666-39,"ATB2B SL",1.75,0,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/atb2b-sl?rid=789093693666-39
789158412311-88,"La Quadrature Du Net",0.6,0,"Does not represent commercial interests",FRANCE,FRANCE,,22,4,https://www.lobbyfacts.eu/datacard/la-quadrature-du-net?rid=789158412311-88
789296443210-66,"Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna Bruno Ubertini",5.5,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/istituto-zooprofilattico-sperimentale-della-lombardia-e-dellemilia-romagna-bruno-ubertini?rid=789296443210-66
789680724256-15,"Organismo Publico Puertos del Estado",2.5,0,"Does not represent commercial interests",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/organismo-publico-puertos-del-estado?rid=789680724256-15
789726450326-45,"National Tourism Board",1,0,"Does not represent commercial interests",BULGARIA,BULGARIA,,,,https://www.lobbyfacts.eu/datacard/national-tourism-board?rid=789726450326-45
790391551124-37,"European Neighbourhood Council",0.1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-neighbourhood-council?rid=790391551124-37
790565643375-96,"The Quality Assurance Agency for Higher Education",0.5,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/the-quality-assurance-agency-for-higher-education?rid=790565643375-96
792079038216-17,"European Network for the Work with Perpetrators of Domestic Violence e.V.",8.8,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/european-network-for-the-work-with-perpetrators-of-domestic-violence-ev?rid=792079038216-17
792363292741-49,"Hungarian Interchurch Aid",0.6,0,"Does not represent commercial interests",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/hungarian-interchurch-aid?rid=792363292741-49
792577324770-47,"Jesuit Refugee Service - Europe",3,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,2,,https://www.lobbyfacts.eu/datacard/jesuit-refugee-service---europe?rid=792577324770-47
792647342481-37,"Bundesverband Prostatakrebs Selbsthilfe e.V.",4.75,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-prostatakrebs-selbsthilfe-ev?rid=792647342481-37
793038613858-32,"Renewables Grid Initiative e.V.",2.25,0,"Does not represent commercial interests",GERMANY,GERMANY,1,2,15,https://www.lobbyfacts.eu/datacard/renewables-grid-initiative-ev?rid=793038613858-32
793227839090-06,"European Food Forum",1.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,6,3,https://www.lobbyfacts.eu/datacard/european-food-forum?rid=793227839090-06
793327442707-32,"Suomen pörssisäätiö (the Finnish Foundation for Share Promotion)",0.2,0,"Does not represent commercial interests",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/suomen-pörssisäätiö-the-finnish-foundation-for-share-promotion?rid=793327442707-32
79355099508-47,"European Food Banks Federation",2.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,5,16,6,https://www.lobbyfacts.eu/datacard/european-food-banks-federation?rid=79355099508-47
79360311166-84,"Eurochild AISBL",10,0,"Does not represent commercial interests",BELGIUM,BELGIUM,14,69,24,https://www.lobbyfacts.eu/datacard/eurochild-aisbl?rid=79360311166-84
794425038571-35,"The Habitat Foundation",0.1,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/the-habitat-foundation?rid=794425038571-35
79444464737-58,"11.11.11, Koepel van Internationale Solidariteit",2.8,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,18,1,https://www.lobbyfacts.eu/datacard/_11111-koepel-van-internationale-solidariteit?rid=79444464737-58
794476524670-73,"B'nai B'rith Europe",5.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,18,1,https://www.lobbyfacts.eu/datacard/bnai-brith-europe?rid=794476524670-73
794609522676-78,"Life Quality Improvement Organisation FLIGHT",4,0,"Does not represent commercial interests",CROATIA,CROATIA,,,,https://www.lobbyfacts.eu/datacard/life-quality-improvement-organisation-flight?rid=794609522676-78
794624139654-51,"International Federation of Pedestrians",0.75,0,"Does not represent commercial interests",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/international-federation-of-pedestrians?rid=794624139654-51
794762592108-44,"World and Africa for Investment and development",4.25,0,"Does not represent commercial interests",FRANCE,FRANCE,2,2,,https://www.lobbyfacts.eu/datacard/world-and-africa-for-investment-and-development?rid=794762592108-44
794798552012-03,"PR ARMY, INTERNATIONAL UNION OF COMMUNICATIONS PROFESSIONALS",1.5,0,"Does not represent commercial interests",UKRAINE,UKRAINE,,,1,https://www.lobbyfacts.eu/datacard/pr-army-international-union-of-communications-professionals?rid=794798552012-03
795433549054-92,"Comité Contre l'Esclavage Moderne",0.2,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/comité-contre-lesclavage-moderne?rid=795433549054-92
79585606808-03,"IKV, Fondation pour le Développement Economique",2,0,"Does not represent commercial interests",TURKEY,BELGIUM,1,3,9,https://www.lobbyfacts.eu/datacard/ikv-fondation-pour-le-développement-economique?rid=79585606808-03
795983621293-47,"Alleanza Italiana per lo Sviluppo Sostenibile - ETS",14.75,0,"Does not represent commercial interests",ITALY,ITALY,,,1,https://www.lobbyfacts.eu/datacard/alleanza-italiana-per-lo-sviluppo-sostenibile---ets?rid=795983621293-47
796397047189-97,"Abolish Schengen Visa for Thailand",3.75,0,"Does not represent commercial interests",THAILAND,THAILAND,,,,https://www.lobbyfacts.eu/datacard/abolish-schengen-visa-for-thailand?rid=796397047189-97
796649447034-89,"GOAL Global",0.25,0,"Does not represent commercial interests",IRELAND,IRELAND,,,1,https://www.lobbyfacts.eu/datacard/goal-global?rid=796649447034-89
797065993469-48,"Suomen Olympiakomitea - Finnish Olympic Committee",0.4,0,"Does not represent commercial interests",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/suomen-olympiakomitea---finnish-olympic-committee?rid=797065993469-48
79718451904-90,"European Radio Amateurs' Organization",0.1,0,"Does not represent commercial interests",FRANCE,SPAIN,,,,https://www.lobbyfacts.eu/datacard/european-radio-amateurs-organization?rid=79718451904-90
797339619005-67,"Administratie Vlaamse Regulator voor de Media",0.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/administratie-vlaamse-regulator-voor-de-media?rid=797339619005-67
798201749371-23,"EUROCHAM Cameroon",1.75,0,"Promotes their own interests or the collective interests of their members",CAMEROON,CAMEROON,,,,https://www.lobbyfacts.eu/datacard/eurocham-cameroon?rid=798201749371-23
798215124921-69,"Mineral Processing and Extractive Metallurgy for Mining and Recycling Innovation Association",1.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/mineral-processing-and-extractive-metallurgy-for-mining-and-recycling-innovation-association?rid=798215124921-69
798219396355-96,CiTyInnoHub,0.2,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/cityinnohub?rid=798219396355-96
79856747620-58,"The Institute of Electrical and Electronics Engineers, Incorporated",1.4,0,"Does not represent commercial interests","UNITED STATES",AUSTRIA,,11,2,https://www.lobbyfacts.eu/datacard/the-institute-of-electrical-and-electronics-engineers-incorporated?rid=79856747620-58
80014376860-01,"Unrepresented Nations and Peoples Organization",1,0,"Does not represent commercial interests",NETHERLANDS,BELGIUM,2,39,2,https://www.lobbyfacts.eu/datacard/unrepresented-nations-and-peoples-organization?rid=80014376860-01
800432710841-53,"Centre Europeen de Droit et Economie",1.15,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/centre-europeen-de-droit-et-economie?rid=800432710841-53
800474149483-26,"EUROPA COLLEGE STICHTING VAN OPENBAAR NUT",1.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,1,1,https://www.lobbyfacts.eu/datacard/europa-college-stichting-van-openbaar-nut?rid=800474149483-26
801319892154-92,"IMEROESSA PANHELLENIC SUPPORT UNION FOR PEOPLE WITH OBESITY",0.2,0,"Does not represent commercial interests",GREECE,GREECE,,,1,https://www.lobbyfacts.eu/datacard/imeroessa-panhellenic-support-union-for-people-with-obesity?rid=801319892154-92
801343044822-25,"Stichting Breda University of Applied Sciences",0.75,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stichting-breda-university-of-applied-sciences?rid=801343044822-25
801613895723-85,"ΕΛΛΗΝΙΚΗ ΑΙΜΑΤΟΛΟΓΙΚΗ ΕΤΑΙΡΕΙΑ",1,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/ελληνικη-αιματολογικη-εταιρεια?rid=801613895723-85
802075843296-19,"Freie Hochschule Stuttgart",0.35,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/freie-hochschule-stuttgart?rid=802075843296-19
802136650522-58,"European Sikh Organisation",0.2,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,2,,https://www.lobbyfacts.eu/datacard/european-sikh-organisation?rid=802136650522-58
802412042190-08,"HateAid gGmbH",2.6,0,"Does not represent commercial interests",GERMANY,GERMANY,,9,6,https://www.lobbyfacts.eu/datacard/hateaid-ggmbh?rid=802412042190-08
802660516125-83,"Concern Worldwide",0.25,0,"Does not represent commercial interests",IRELAND,IRELAND,,,1,https://www.lobbyfacts.eu/datacard/concern-worldwide?rid=802660516125-83
80267287489-88,"International Diabetes Federation European Region",6.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,5,25,3,https://www.lobbyfacts.eu/datacard/international-diabetes-federation-european-region?rid=80267287489-88
803055793743-75,"Villa Gillet",0.25,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/villa-gillet?rid=803055793743-75
